kx ky BerryCurvature
1.413716694115406902e+00 1.256637061435917246e+00 1.189222392962660546e-05
1.570796326794896558e+00 1.256637061435917246e+00 1.806659414918815462e-05
1.727875959474386436e+00 1.256637061435917246e+00 2.751474981673471092e-05
1.884955592153876092e+00 1.256637061435917246e+00 4.209130260211224584e-05
2.042035224833365525e+00 1.256637061435917246e+00 6.464544477964887740e-05
2.199114857512855181e+00 1.256637061435917246e+00 9.930867353538994210e-05
2.356194490192344837e+00 1.256637061435917246e+00 1.513631951746246792e-04
2.513274122871834493e+00 1.256637061435917246e+00 2.257309477545128319e-04
2.670353755551324593e+00 1.256637061435917246e+00 3.225988357705709183e-04
2.827433388230813804e+00 1.256637061435917246e+00 4.300098689799713905e-04
2.984513020910303460e+00 1.256637061435917246e+00 5.191778066707653481e-04
3.141592653589793116e+00 1.256637061435917246e+00 5.545284325226195951e-04
3.298672286269282772e+00 1.256637061435917246e+00 5.191778066707623124e-04
3.455751918948772872e+00 1.256637061435917246e+00 4.300098689799655358e-04
3.612831551628262527e+00 1.256637061435917246e+00 3.225988357705689667e-04
3.769911184307752183e+00 1.256637061435917246e+00 2.257309477545118561e-04
3.926990816987241395e+00 1.256637061435917246e+00 1.513631951746251128e-04
4.084070449666731051e+00 1.256637061435917246e+00 9.930867353538929158e-05
4.241150082346220707e+00 1.256637061435917246e+00 6.464544477964914845e-05
4.398229715025710362e+00 1.256637061435917246e+00 4.209130260211278794e-05
4.555309347705200906e+00 1.256637061435917246e+00 2.751474981673519881e-05
4.712388980384689674e+00 1.256637061435917246e+00 1.806659414918762607e-05
4.869468613064179330e+00 1.256637061435917246e+00 1.189222392962623954e-05
5.026548245743668986e+00 1.256637061435917246e+00 7.814441526215684403e-06
5.183627878423158641e+00 1.256637061435917246e+00 5.091925356800390632e-06
5.340707511102649185e+00 1.256637061435917246e+00 3.257226764712394538e-06
5.497787143782137953e+00 1.256637061435917246e+00 2.013934683339087646e-06
5.654866776461627609e+00 1.256637061435917246e+00 1.172960178060417801e-06
5.811946409141117265e+00 1.256637061435917246e+00 6.134436361366825570e-07
5.969026041820606920e+00 1.256637061435917246e+00 2.588902600527244138e-07
6.126105674500097464e+00 1.256637061435917246e+00 6.275055576285561132e-08
0.000000000000000000e+00 1.413716694115406902e+00 -0.000000000000000000e+00
1.570796326794896558e-01 1.413716694115406902e+00 3.298829442275111160e-08
3.141592653589793116e-01 1.413716694115406902e+00 1.360998907330340444e-07
4.712388980384690229e-01 1.413716694115406902e+00 3.224900804950800608e-07
6.283185307179586232e-01 1.413716694115406902e+00 6.166297058702279108e-07
7.853981633974482790e-01 1.413716694115406902e+00 1.058731619160478175e-06
9.424777960769380458e-01 1.413716694115406902e+00 1.712330824203675536e-06
1.099557428756427591e+00 1.413716694115406902e+00 2.676829719091721236e-06
1.256637061435917246e+00 1.413716694115406902e+00 4.108048681145091849e-06
1.413716694115406902e+00 1.413716694115406902e+00 6.251720635451192640e-06
1.570796326794896558e+00 1.413716694115406902e+00 9.497551186974630079e-06
1.727875959474386436e+00 1.413716694115406902e+00 1.446438507996410702e-05
1.884955592153876092e+00 1.413716694115406902e+00 2.212719100846105536e-05
2.042035224833365525e+00 1.413716694115406902e+00 3.398382506995822634e-05
2.199114857512855181e+00 1.413716694115406902e+00 5.220636829729766951e-05
2.356194490192344837e+00 1.413716694115406902e+00 7.957212622646838134e-05
2.513274122871834493e+00 1.413716694115406902e+00 1.186695699694651374e-04
2.670353755551324593e+00 1.413716694115406902e+00 1.695984988516263193e-04
2.827433388230813804e+00 1.413716694115406902e+00 2.260738921933162174e-04
2.984513020910303460e+00 1.413716694115406902e+00 2.729599762989192314e-04
3.141592653589793116e+00 1.413716694115406902e+00 2.915486372830173537e-04
3.298672286269282772e+00 1.413716694115406902e+00 2.729599762989205324e-04
3.455751918948772872e+00 1.413716694115406902e+00 2.260738921933155669e-04
3.612831551628262527e+00 1.413716694115406902e+00 1.695984988516241508e-04
